sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","B10","Cal90","Sample","SYNE1","SYNE1_incl","-","WT","17756.7","-","6.0%","-","-","-","-","-","-","-","-","-"
"","","","B10","Cal90","Sample","SYNE1","SYNE1_excl","-","ET","2121.8","-","3.2%","-","-","10.6736%","6%","-","-","-","-","-"
"","","","B11","Cal100","Sample","SYNE1","SYNE1_incl","-","WT","16964.1","-","5.8%","-","-","-","-","-","-","-","-","-"
"","","","B11","Cal100","Sample","SYNE1","SYNE1_excl","-","ET","302.4","-","7.2%","-","-","1.7516%","9%","-","-","-","-","-"
"","","","B12","NTC","Non Template Control","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","B12","NTC","Non Template Control","SYNE1","SYNE1_excl","-","ET","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","C1","Cal0","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","C1","Cal0","Sample","SYNE1","SYNE1_excl","-","ET","25495.2","-","40.8%","-","-","100.0000%","0%","-","-","-","-","-"
"","","","C2","Cal10","Sample","SYNE1","SYNE1_incl","-","WT","2398.7","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","C2","Cal10","Sample","SYNE1","SYNE1_excl","-","ET","23681.2","-","15.2%","-","-","90.8024%","1%","-","-","-","-","-"
"","","","C3","Cal20","Sample","SYNE1","SYNE1_incl","-","WT","4791.1","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","C3","Cal20","Sample","SYNE1","SYNE1_excl","-","ET","22361.6","-","10.2%","-","-","82.3549%","2%","-","-","-","-","-"
"","","","C4","Cal30","Sample","SYNE1","SYNE1_incl","-","WT","6577.6","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","C4","Cal30","Sample","SYNE1","SYNE1_excl","-","ET","17224.9","-","5.3%","-","-","72.3659%","2%","-","-","-","-","-"
