sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","B10","CalA_95","Sample","KIF13A","Excl","-","WT","86.99","-","13.4%","869.9","-","-","-","1","1","10","-","-"
"","","","B11","CalA_100","Sample","KIF13A","Incl","-","ET","1816.7","-","3.3%","18167.3","-","99.8704%","0%","1","1","10","-","-"
"","","","B11","CalA_100","Sample","KIF13A","Excl","-","WT","2.358","-","80.0%","23.58","-","-","-","1","1","10","-","-"
"","","","B12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","B12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","C1","CalA_0","Sample","KIF13A","Incl","-","ET","1.555","-","98.0%","15.55","-","0.0785%","98%","1","1","10","-","-"
"","","","C1","CalA_0","Sample","KIF13A","Excl","-","WT","1979.3","-","3.2%","19793.3","-","-","-","1","1","10","-","-"
"","","","C2","CalA_5","Sample","KIF13A","Incl","-","ET","92.27","-","12.9%","922.7","-","4.2446%","13%","1","1","10","-","-"
"","","","C2","CalA_5","Sample","KIF13A","Excl","-","WT","2081.7","-","3.2%","20816.5","-","-","-","1","1","10","-","-"
"","","","C3","CalA_15","Sample","KIF13A","Incl","-","ET","306.2","-","7.3%","3061.8","-","15.6396%","7%","1","1","10","-","-"
"","","","C3","CalA_15","Sample","KIF13A","Excl","-","WT","1651.5","-","3.5%","16515.3","-","-","-","1","1","10","-","-"
"","","","C4","CalA_25","Sample","KIF13A","Incl","-","ET","446.6","-","6.2%","4465.8","-","24.3379%","6%","1","1","10","-","-"
"","","","C4","CalA_25","Sample","KIF13A","Excl","-","WT","1388.3","-","3.8%","13883.3","-","-","-","1","1","10","-","-"
"","","","C5","CalA_35","Sample","KIF13A","Incl","-","ET","600.7","-","5.4%","6007.0","-","33.7853%","4%","1","1","10","-","-"
"","","","C5","CalA_35","Sample","KIF13A","Excl","-","WT","1177.3","-","4.0%","11773.0","-","-","-","1","1","10","-","-"
"","","","C6","CalA_50","Sample","KIF13A","Incl","-","ET","849.5","-","4.7%","8494.6","-","46.9567%","3%","1","1","10","-","-"
"","","","C6","CalA_50","Sample","KIF13A","Excl","-","WT","959.6","-","4.4%","9595.7","-","-","-","1","1","10","-","-"
"","","","C7","CalA_65","Sample","KIF13A","Incl","-","ET","1111.1","-","4.2%","11110.9","-","63.6803%","2%","1","1","10","-","-"
"","","","C7","CalA_65","Sample","KIF13A","Excl","-","WT","633.7","-","5.3%","6337.0","-","-","-","1","1","10","-","-"
"","","","C8","CalA_75","Sample","KIF13A","Incl","-","ET","1313.5","-","3.9%","13134.5","-","73.1311%","2%","1","1","10","-","-"
"","","","C8","CalA_75","Sample","KIF13A","Excl","-","WT","482.6","-","6.0%","4825.7","-","-","-","1","1","10","-","-"
"","","","C9","CalA_85","Sample","KIF13A","Incl","-","ET","1526.4","-","3.6%","15264.4","-","84.3536%","1%","1","1","10","-","-"
"","","","C9","CalA_85","Sample","KIF13A","Excl","-","WT","283.1","-","7.6%","2831.3","-","-","-","1","1","10","-","-"
"","","","C10","CalA_95","Sample","KIF13A","Incl","-","ET","1766.3","-","3.4%","17662.6","-","94.9077%","1%","1","1","10","-","-"
"","","","C10","CalA_95","Sample","KIF13A","Excl","-","WT","94.77","-","13.0%","947.7","-","-","-","1","1","10","-","-"
"","","","C11","CalA_100","Sample","KIF13A","Incl","-","ET","1844.3","-","3.4%","18443.1","-","99.8010%","0%","1","1","10","-","-"
"","","","C11","CalA_100","Sample","KIF13A","Excl","-","WT","3.678","-","65.3%","36.78","-","-","-","1","1","10","-","-"
"","","","C12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.394","-","147.5%","-","-","100.0000%","3%","-","-","10","-","-"
"","","","C12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","D1","CalA_0","Sample","KIF13A","Incl","-","ET","0.000","-","-","0.000","-","0%","-","1","1","10","-","-"
"","","","D1","CalA_0","Sample","KIF13A","Excl","-","WT","2016.0","-","3.3%","20159.7","-","-","-","1","1","10","-","-"
"","","","D2","CalA_5","Sample","KIF13A","Incl","-","ET","99.31","-","12.6%","993.1","-","4.5466%","12%","1","1","10","-","-"
"","","","D2","CalA_5","Sample","KIF13A","Excl","-","WT","2085.0","-","3.2%","20849.9","-","-","-","1","1","10","-","-"
"","","","D3","CalA_15","Sample","KIF13A","Incl","-","ET","281.9","-","7.6%","2818.6","-","14.5571%","7%","1","1","10","-","-"
"","","","D3","CalA_15","Sample","KIF13A","Excl","-","WT","1654.4","-","3.5%","16543.5","-","-","-","1","1","10","-","-"
"","","","D4","CalA_25","Sample","KIF13A","Incl","-","ET","442.3","-","6.2%","4422.5","-","24.3096%","6%","1","1","10","-","-"
"","","","D4","CalA_25","Sample","KIF13A","Excl","-","WT","1377.0","-","3.8%","13770.0","-","-","-","1","1","10","-","-"
"","","","D5","CalA_35","Sample","KIF13A","Incl","-","ET","628.0","-","5.4%","6280.4","-","35.3592%","4%","1","1","10","-","-"
"","","","D5","CalA_35","Sample","KIF13A","Excl","-","WT","1148.1","-","4.2%","11481.3","-","-","-","1","1","10","-","-"
"","","","D6","CalA_50","Sample","KIF13A","Incl","-","ET","892.0","-","4.7%","8920.5","-","49.6329%","3%","1","1","10","-","-"
"","","","D6","CalA_50","Sample","KIF13A","Excl","-","WT","905.2","-","4.6%","9052.5","-","-","-","1","1","10","-","-"
"","","","D7","CalA_65","Sample","KIF13A","Incl","-","ET","1150.1","-","4.1%","11500.6","-","65.6170%","2%","1","1","10","-","-"
"","","","D7","CalA_65","Sample","KIF13A","Excl","-","WT","602.6","-","5.4%","6026.3","-","-","-","1","1","10","-","-"
"","","","D8","CalA_75","Sample","KIF13A","Incl","-","ET","1406.0","-","3.8%","14059.8","-","73.5266%","2%","1","1","10","-","-"
"","","","D8","CalA_75","Sample","KIF13A","Excl","-","WT","506.2","-","5.9%","5062.3","-","-","-","1","1","10","-","-"
"","","","D9","CalA_85","Sample","KIF13A","Incl","-","ET","1546.3","-","3.7%","15462.7","-","84.4644%","1%","1","1","10","-","-"
"","","","D9","CalA_85","Sample","KIF13A","Excl","-","WT","284.4","-","7.7%","2844.1","-","-","-","1","1","10","-","-"
"","","","D10","CalA_95","Sample","KIF13A","Incl","-","ET","1638.2","-","3.5%","16381.5","-","94.7429%","1%","1","1","10","-","-"
"","","","D10","CalA_95","Sample","KIF13A","Excl","-","WT","90.90","-","13.3%","909.0","-","-","-","1","1","10","-","-"
"","","","D11","CalA_100","Sample","KIF13A","Incl","-","ET","1887.2","-","3.3%","18871.5","-","99.6959%","0%","1","1","10","-","-"
"","","","D11","CalA_100","Sample","KIF13A","Excl","-","WT","5.756","-","52.4%","57.56","-","-","-","1","1","10","-","-"
"","","","D12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
